"Symptom","Threshold"
"Q1",-1.53784074569426
"Q2",-0.143592275949199
"Q3",-0.15957754356426
"Q4",-0.729633703102372
"Q5",-0.754548427413686
"Q6",-2.21010790749834
"Q7",-0.93723709043146
"Q8",-0.123076886880153
"Q9",-0.264272313457386
"Q10",0.857771905708217
"Q11",-0.812337330634652
"Q12",-1.63211065387111
"Q13",0.956601957676401
"Q14",0.0649564600192327
"Q15",-0.996759610278044
"Q16",-0.356709327359307
"Q17",-0.602607012340802
"Q18",-1.2410098412212
"Q19",-0.941601243032033
"Q20",-0.8322744125763
"Q21",-1.1853744374664
"Q22",-0.454100436724546
